system,family,n,paths_total,path_index,iterations,min_dt,median_dt,max_dt,mean_dt,min_radius,median_radius,mean_radius_theory_gap,max_eta,min_r_theory
katsura3,katsura,3,4,3,0.025257208,12,0.05641472683609649,0.08316143218825435,0.12019659826778108,0.08333333333333333,0.003125,0.003125,45497.15587485041,0.01847901218280472,0.0
katsura3,katsura,3,4,4,0.224852458,17,0.0159779784540336,0.07055042118486472,0.10067372128666721,0.05882352941176469,0.0015625,0.0015625,40907.69947584947,0.01883709423027946,0.0
katsura4,katsura,4,8,1,0.159567167,17,0.00846786629324181,0.056036430996328476,0.12105306746125864,0.058823529411764705,0.0015625,0.0015625,28101.44118084993,0.008750000002996005,0.0
katsura4,katsura,4,8,2,0.04948775,16,0.023076969021049585,0.048507083172624005,0.15643519783552695,0.0625,0.003125,0.003125,160369.73774972645,0.017837285769145634,0.0
katsura4,katsura,4,8,3,0.058967417,18,0.006130023262956086,0.03718193991632203,0.1963425494452875,0.05555555555555555,0.003125,0.003125,161375.705054305,0.016141156756134707,0.0
katsura4,katsura,4,8,4,0.282188959,59,0.0012761121150780882,0.005597099345181849,0.0871013912227424,0.01694915254237288,0.00078125,0.00078125,191200.0220260687,0.008750000002996005,0.0
katsura4,katsura,4,8,5,0.133126,13,0.04288241972798759,0.06861734407058234,0.13648775655629355,0.07692307692307693,0.003125,0.003125,91149.92482661706,0.014414499005964084,0.0
katsura4,katsura,4,8,6,0.073965417,26,0.009498605661131717,0.0242924516336357,0.1257353777999719,0.03846153846153846,0.0015625,0.003125,114315.60955184519,0.008750000002996005,0.0
katsura4,katsura,4,8,7,0.045227875,15,0.034534743746761146,0.05812142726054196,0.12936176074544495,0.06666666666666667,0.003125,0.003125,63158.075572064445,0.011219849433036864,0.0
katsura4,katsura,4,8,8,0.146658917,19,0.010379741226354112,0.049336029738621424,0.11201899485728711,0.05263157894736842,0.00078125,0.00078125,59779.07660351333,0.010285122766356136,0.0
katsura5,katsura,5,16,1,0.341035958,31,0.001964678046318613,0.033584158597863775,0.09160349581196602,0.03225806451612903,0.000390625,0.000390625,53961.2717449002,0.006562500002833853,0.0
katsura5,katsura,5,16,2,0.108314625,23,0.004496340685450129,0.030581893244149547,0.13436128942122008,0.04347826086956521,0.0015625,0.003125,209791.09616186496,0.009900262142920842,0.0
katsura5,katsura,5,16,3,0.195360375,25,0.010622512518025025,0.02321045162678808,0.14914968804941087,0.04,0.0015625,0.0015625,138147.344399203,0.00801093578604724,0.0
katsura5,katsura,5,16,4,0.266403208,41,0.003686912941995005,0.016751123392388708,0.0858130410292216,0.02439024390243902,0.000390625,0.00078125,53463.93246902232,0.006562500002833853,0.0
katsura5,katsura,5,16,5,0.180553917,20,0.017010017526436272,0.028367945142158315,0.15513102265083376,0.05,0.0015625,0.0015625,129464.93847405286,0.00948783879190901,0.0
katsura5,katsura,5,16,6,0.259506125,37,0.0059707006384422875,0.016991494193977802,0.08828343557559447,0.02702702702702703,0.000390625,0.00078125,79227.8420744811,0.006562500002833853,0.0
katsura5,katsura,5,16,7,0.321400125,42,0.009341372236694824,0.015025884752370046,0.08024438538454404,0.023809523809523805,4.8828125e-5,0.00078125,188644.26473894605,0.006562500002833853,0.0
katsura5,katsura,5,16,8,0.3881635,43,0.005593451171728179,0.014678316033097959,0.09354362417228333,0.02325581395348838,0.000390625,0.0015625,197689.45983339217,0.006562500002833853,0.0
katsura5,katsura,5,16,9,0.256547083,27,0.005460126120684833,0.029264248001784007,0.09885732469437532,0.037037037037037035,0.000390625,0.000390625,59565.96655308748,0.006562500002833853,0.0
katsura5,katsura,5,16,10,0.301162959,43,0.0051731453136961226,0.01459084549144017,0.0840772426736199,0.02325581395348837,0.000390625,0.000390625,142085.49562284397,0.006562500002833853,0.0
katsura5,katsura,5,16,11,0.239512375,27,0.005625331544279655,0.0182455198574666,0.16360012416337832,0.037037037037037035,0.0015625,0.003125,179873.97981964482,0.009002593072359953,0.0
katsura5,katsura,5,16,12,0.361803459,47,4.585756391107479e-16,0.013687706188332463,0.08962620225188064,0.021276595744680847,1.3877787807814458e-18,0.00078125,4.445063641976511e8,0.006562500002833853,0.0
katsura5,katsura,5,16,13,0.288135083,36,0.001555282823987216,0.015983459455560074,0.11771749210071489,0.027777777777777776,0.00078125,0.00078125,35255.64595592453,0.006562500002833853,0.0
katsura5,katsura,5,16,14,0.155059375,34,0.0015686203464442198,0.019759541575499258,0.10607494472339284,0.02941176470588235,0.00078125,0.00078125,33098.13278034952,0.006562500002833853,0.0
katsura5,katsura,5,16,15,0.243786625,21,0.002357705118866904,0.03450950561394544,0.12236919401201936,0.047619047619047616,0.0015625,0.003125,99314.51132623597,0.008111747442872798,0.0
katsura5,katsura,5,16,16,0.073086667,16,0.0290738958931201,0.04834055666914966,0.15550164009967896,0.0625,0.0015625,0.0015625,78177.77898460069,0.010140528287162156,0.0
katsura6,katsura,6,32,1,0.510688125,21,0.016180738238571912,0.049042277539995564,0.0951942348687387,0.047619047619047616,0.00078125,0.00078125,63608.24701314941,0.006140973943959636,0.0
katsura6,katsura,6,32,2,0.139980792,19,0.01865283312431598,0.03791949623371728,0.12794115403477976,0.05263157894736842,0.0015625,0.0015625,132624.5418906126,0.006919777765434988,0.0
katsura6,katsura,6,32,3,0.441833083,33,0.0013530784979344092,0.01848885771841996,0.10226358678761614,0.030303030303030304,0.00078125,0.00078125,53815.87319948165,0.005573557606731635,0.0
katsura6,katsura,6,32,4,0.765388625,66,0.00046136613678957544,0.00358053730514909,0.08906156549172543,0.015151515151515152,0.000390625,0.000390625,161655.23559237807,0.005250000002035277,0.0
katsura6,katsura,6,32,5,0.455269084,31,0.004341430492921973,0.03145003135394637,0.07931385533899066,0.032258064516129024,0.0001953125,0.0001953125,99220.16326315938,0.005250000002035277,0.0
katsura6,katsura,6,32,6,0.326008041,28,0.004080699851540914,0.027161342149058517,0.09319543750672848,0.03571428571428571,0.000390625,0.000390625,78700.5810380556,0.005250000002035277,0.0
katsura6,katsura,6,32,7,0.454573208,50,0.0006730644924342839,0.006768772431157484,0.08647589957214089,0.020000000000000004,0.000390625,0.000390625,165525.51314459083,0.005573557606731635,0.0
katsura6,katsura,6,32,8,0.419686792,41,0.0026931795716048645,0.018372275008637425,0.07231332766332366,0.024390243902439022,0.000390625,0.0015625,153747.72861627687,0.005250000002035277,0.0
katsura6,katsura,6,32,9,0.252557167,17,0.025694381903458685,0.04802432612871727,0.13168717118644313,0.058823529411764705,0.0015625,0.0015625,81247.85877454665,0.007945241173357258,0.0
