system,family,n,seed,paths_total,path_index,status,final_t,elapsed_sec,iterations,min_dt,median_dt,max_dt,mean_dt,min_radius,median_radius,mean_radius_theory_gap,max_eta,min_r_theory
random(2^3),random_dense,3,217347003,8,4,success,1.0,0.048316875,19,0.01637803599436754,0.048911024103312516,0.1928108019888304,0.05263157894736842,0.0015625,0.0015625,1.2087266009224588e13,0.05343474289665463,1.088574932575425e-16
random(2^3),random_dense,3,217347003,8,5,success,1.0,0.03209225,17,0.0364697621696428,0.05089395945086637,0.16370906279306668,0.058823529411764705,0.003125,0.003125,1.3509297318770348e13,0.02415874622906423,1.088574932575425e-16
random(2^3),random_dense,3,217347003,8,6,success,1.0,0.046247083,24,0.008627512185229133,0.02874779725289667,0.15676543659481204,0.041666666666666664,0.0015625,0.0015625,9.569085772892047e12,0.02667760790688092,1.088574932575425e-16
random(2^3),random_dense,3,217347003,8,7,success,1.0,0.079741042,35,0.002880897013281536,0.015918992915440796,0.16402369451155036,0.02857142857142857,0.0015625,0.0015625,6.561659188915762e12,0.04336248125681244,1.088574932575425e-16
random(2^3),random_dense,3,217347003,8,8,success,1.0,0.313932792,32,0.0032633760519432675,0.015486398968634728,0.15325903052431758,0.03125,0.00078125,0.00078125,7.176814181299442e12,0.04953893555804947,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,1,success,1.0,0.160129792,37,0.009732934368231645,0.021269567704949435,0.07429879634068251,0.027027027027027025,0.000390625,0.000390625,255539.05571039446,0.016411434299389335,0.0
random(2^4),random_dense,4,217347004,16,2,success,1.0,0.410562708,36,0.0060010162576003,0.023395643338751868,0.08417189501092766,0.027777777777777776,0.000390625,0.000390625,6.379390629422988e12,0.03324313455632389,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,3,success,1.0,0.088403458,23,0.0011150492897443742,0.03652285496444115,0.09808159381115575,0.043478260869565216,0.00078125,0.00078125,9.98513298075317e12,0.019524326291548613,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,4,success,1.0,0.642496958,34,0.006986450138936918,0.019577141694672905,0.1398716376269725,0.029411764705882346,0.000390625,0.00078125,6.754649046302053e12,0.023038521943675026,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,5,success,1.0,0.269671542,52,0.0037051106403934355,0.013819455824818874,0.07093571112059051,0.019230769230769235,0.0001953125,0.00078125,4.416501244691856e12,0.016133122640445093,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,6,success,1.0,0.872175834,90,0.0023643468773057457,0.007499301494957623,0.12871983226179473,0.011111111111111113,0.000390625,0.00078125,2.5517564974509233e12,0.03131501868413302,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,7,success,1.0,0.320779959,34,0.009182129928133595,0.019598376271036083,0.10769430974392148,0.029411764705882353,0.00078125,0.00078125,6.754649691949944e12,0.02086436969422181,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,8,success,1.0,0.192787167,49,0.004220414006414379,0.016575866277408775,0.08803909130102969,0.02040816326530612,0.000390625,0.000390625,4.686899122779833e12,0.029659712858536427,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,9,success,1.0,0.35732175,27,0.00988014830050954,0.03174451122902388,0.08393719344755778,0.037037037037037035,0.000390625,0.000390625,8.505853999388485e12,0.029787491115400227,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,10,success,1.0,0.273981833,30,0.0077336768002616105,0.02832865426372561,0.11097333413188198,0.03333333333333333,0.000390625,0.000390625,7.655268687354213e12,0.02952826809168999,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,11,success,1.0,0.124449375,29,0.011325997037485382,0.022774291644879936,0.13813117554682075,0.034482758620689655,0.000390625,0.000390625,7.91924332062391e12,0.027315463718299283,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,12,success,1.0,0.399806792,52,0.004636103830473719,0.011986850655107396,0.10491028370357788,0.019230769230769225,0.00078125,0.00078125,4.416501410921138e12,0.028126289088112,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,13,success,1.0,0.275675333,28,0.01226330600027613,0.02453838257164865,0.11470442924774542,0.03571428571428571,0.0015625,0.0015625,8.202073587119833e12,0.018258810042310763,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,14,success,1.0,0.390332667,51,0.009352298816220798,0.01664711112729018,0.12686693886640377,0.0196078431372549,0.000390625,0.00078125,4.50310082155098e12,0.026393043982045932,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,15,success,1.0,0.3167605,33,0.011649246125676785,0.026525932589477927,0.07978875898136403,0.030303030303030304,0.00078125,0.00078125,6.959335245587034e12,0.033552254164707716,1.088574932575425e-16
random(2^4),random_dense,4,217347004,16,16,success,1.0,0.212772875,53,0.004036070621483736,0.01328652116950851,0.06137670543758493,0.01886792452830189,0.000390625,0.000390625,4.333170955861147e12,0.018437663070211757,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,1,success,1.0,1.058343542,67,0.001522856353131026,0.008821162561433917,0.05972170944092688,0.014925373134328365,0.000390625,0.000390625,64587.980833856025,0.013522238486627036,0.0
random(2^5),random_dense,5,217347005,32,2,success,1.0,1.407482833,60,0.0013883194390342285,0.009268752537723236,0.09034721122168632,0.016666666666666666,0.0001953125,0.000390625,3.82763431355561e12,0.019047875509727093,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,3,success,1.0,1.271912375,50,0.007281462542768274,0.014663025421242173,0.05336283574059435,0.019999999999999997,0.00078125,0.00078125,4.593175318605892e12,0.015089253631326837,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,4,success,1.0,0.976001125,66,0.0023906679709594534,0.008960630711559042,0.07490617457083479,0.015151515151515159,0.000390625,0.00078125,3.4796678826773516e12,0.019565759983937333,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,5,success,1.0,1.031956083,69,0.0015711399978062084,0.011992194760098777,0.051907320759858655,0.01449275362318841,0.000390625,0.000390625,3.3283776780730522e12,0.01594424873945044,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,6,success,1.0,1.714768208,64,0.0013414378493796376,0.008316190536078986,0.08446413011575406,0.015625,0.0001953125,0.000390625,3.5884072052371235e12,0.02051446680752058,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,7,success,1.0,1.100247917,80,0.0010964389766745604,0.005984630209202243,0.061417968713479265,0.012499999999999997,0.0001953125,0.00078125,2.8707286061833115e12,0.013293874032463553,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,8,success,1.0,1.214236458,68,0.0028761753278538547,0.009674022462297517,0.07737408366360252,0.014705882352941171,0.0001953125,0.0015625,3.377325058200215e12,0.019528833766933974,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,9,success,1.0,2.355755042,55,0.0017245383373189088,0.016270729216506623,0.039695704731127726,0.01818181818181818,0.000390625,0.000390625,4.175601161693247e12,0.016578507950190547,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,10,success,1.0,1.53512725,64,0.004749644551316381,0.013599765641290755,0.06631060450247915,0.015625,0.000390625,0.00078125,3.5884076057266616e12,0.02573570017664639,1.088574932575425e-16
